Epoch: 52, Train Loss: 0.03226268291473389, Test Loss: 0.035361915826797485
Epoch: 53, Train Loss: 0.03208569437265396, Test Loss: 0.034834008663892746
Epoch: 54, Train Loss: 0.03048737347126007, Test Loss: 0.03421855717897415
Epoch: 55, Train Loss: 0.029999127611517906, Test Loss: 0.03372059017419815
Epoch: 56, Train Loss: 0.029313677921891212, Test Loss: 0.03317943960428238
Epoch: 57, Train Loss: 0.02858082950115204, Test Loss: 0.03280804306268692
Epoch: 58, Train Loss: 0.027843588963150978, Test Loss: 0.03212785720825195
Epoch: 59, Train Loss: 0.027572710067033768, Test Loss: 0.03158050775527954
Epoch: 60, Train Loss: 0.02667698636651039, Test Loss: 0.03093598410487175
Epoch: 61, Train Loss: 0.026948517188429832, Test Loss: 0.030729034915566444
Epoch: 62, Train Loss: 0.026412513107061386, Test Loss: 0.030293326824903488
Epoch: 63, Train Loss: 0.025863539427518845, Test Loss: 0.029632270336151123
Epoch: 64, Train Loss: 0.025049259886145592, Test Loss: 0.029292071238160133
Epoch: 65, Train Loss: 0.025600066408514977, Test Loss: 0.028880542144179344
Epoch: 66, Train Loss: 0.025034049525856972, Test Loss: 0.028816545382142067
Epoch: 67, Train Loss: 0.023676669225096703, Test Loss: 0.028216823935508728
Epoch: 68, Train Loss: 0.02353772521018982, Test Loss: 0.027895748615264893
Epoch: 69, Train Loss: 0.023546449840068817, Test Loss: 0.02756393514573574
Epoch: 70, Train Loss: 0.023156723007559776, Test Loss: 0.027429332956671715
Epoch: 71, Train Loss: 0.022447623312473297, Test Loss: 0.027150338515639305
Epoch: 72, Train Loss: 0.022497065365314484, Test Loss: 0.026996677741408348
Epoch: 73, Train Loss: 0.022234156727790833, Test Loss: 0.02676600217819214
Epoch: 74, Train Loss: 0.02208426035940647, Test Loss: 0.02645006775856018
Epoch: 75, Train Loss: 0.022576406598091125, Test Loss: 0.026285195723176003
Epoch: 76, Train Loss: 0.022081853821873665, Test Loss: 0.02610909380018711
Epoch: 77, Train Loss: 0.021287530660629272, Test Loss: 0.02597513422369957
Epoch: 78, Train Loss: 0.02088090404868126, Test Loss: 0.025567302480340004
Epoch: 79, Train Loss: 0.02087818831205368, Test Loss: 0.02552308514714241
Epoch: 80, Train Loss: 0.02048747055232525, Test Loss: 0.025502407923340797
Epoch: 81, Train Loss: 0.0206440482288599, Test Loss: 0.02529410645365715
Epoch: 82, Train Loss: 0.020214615389704704, Test Loss: 0.024976499378681183
Epoch: 83, Train Loss: 0.020182333886623383, Test Loss: 0.024827683344483376
Epoch: 84, Train Loss: 0.0205211378633976, Test Loss: 0.024773599579930305
Epoch: 85, Train Loss: 0.019713545218110085, Test Loss: 0.02461818791925907
Epoch: 86, Train Loss: 0.019569814205169678, Test Loss: 0.024533448740839958
Epoch: 87, Train Loss: 0.01996159926056862, Test Loss: 0.024383116513490677
Epoch: 88, Train Loss: 0.019429609179496765, Test Loss: 0.024175148457288742
Epoch: 89, Train Loss: 0.01960184797644615, Test Loss: 0.02411210536956787
Epoch: 90, Train Loss: 0.019171902909874916, Test Loss: 0.02397052012383938
Epoch: 91, Train Loss: 0.018760913982987404, Test Loss: 0.023907100781798363
Epoch: 92, Train Loss: 0.019071921706199646, Test Loss: 0.02371836267411709
Epoch: 93, Train Loss: 0.0185521449893713, Test Loss: 0.023585045710206032
Epoch: 94, Train Loss: 0.019099611788988113, Test Loss: 0.023546617478132248
Epoch: 95, Train Loss: 0.018645619973540306, Test Loss: 0.02350189909338951
Epoch: 96, Train Loss: 0.018176870420575142, Test Loss: 0.023356810212135315
Epoch: 97, Train Loss: 0.018545065075159073, Test Loss: 0.023219279944896698
Epoch: 98, Train Loss: 0.01845855824649334, Test Loss: 0.023205526173114777
Epoch: 99, Train Loss: 0.01819811388850212, Test Loss: 0.02299037203192711
Epoch: 100, Train Loss: 0.01812770590186119, Test Loss: 0.0229636337608099
Epoch: 101, Train Loss: 0.01814626157283783, Test Loss: 0.022853199392557144
Epoch: 102, Train Loss: 0.0177206601947546, Test Loss: 0.02277125045657158
Epoch: 103, Train Loss: 0.01825825683772564, Test Loss: 0.02263318933546543
Epoch: 104, Train Loss: 0.017576048150658607, Test Loss: 0.022758858278393745
Epoch: 105, Train Loss: 0.0176092516630888, Test Loss: 0.02249862812459469
Epoch: 106, Train Loss: 0.017826028168201447, Test Loss: 0.022412214428186417
Epoch: 107, Train Loss: 0.018951043486595154, Test Loss: 0.022568771615624428
Epoch: 108, Train Loss: 0.017242684960365295, Test Loss: 0.022418614476919174
Epoch: 109, Train Loss: 0.017181213945150375, Test Loss: 0.022206570953130722
Epoch: 110, Train Loss: 0.017155436798930168, Test Loss: 0.022132162004709244
Epoch: 111, Train Loss: 0.01724892482161522, Test Loss: 0.022093625739216805
Epoch: 112, Train Loss: 0.017234815284609795, Test Loss: 0.022039921954274178
Epoch: 113, Train Loss: 0.01716047152876854, Test Loss: 0.021915316581726074
Epoch: 114, Train Loss: 0.01745668426156044, Test Loss: 0.02182767353951931
Epoch: 115, Train Loss: 0.017336178570985794, Test Loss: 0.02177153341472149
Epoch: 116, Train Loss: 0.016826631501317024, Test Loss: 0.02181013487279415
Epoch: 117, Train Loss: 0.017002934589982033, Test Loss: 0.02194139175117016
Epoch: 118, Train Loss: 0.01680893637239933, Test Loss: 0.02174227312207222
Epoch: 119, Train Loss: 0.0176264438778162, Test Loss: 0.021522697061300278
Epoch: 120, Train Loss: 0.01710199937224388, Test Loss: 0.02159341610968113
Epoch: 121, Train Loss: 0.016658594831824303, Test Loss: 0.02144637703895569
Epoch: 122, Train Loss: 0.016601765528321266, Test Loss: 0.021477196365594864
Epoch: 123, Train Loss: 0.016673678532242775, Test Loss: 0.02136596105992794
Epoch: 124, Train Loss: 0.016342679038643837, Test Loss: 0.02129729837179184
Epoch: 125, Train Loss: 0.01690797135233879, Test Loss: 0.021186351776123047
